stem,세부직무명,회사명,담당업무,우대사항,스킬
0227_GI48033454_펑타이그레이터차이나 유한회사 채용 - [PTKOREA] E-Commerce Platform 운영 _ 콘텐츠 기획 _ 잡코리아,데이터 분석가,펑타이그레이터차이나 유한회사,['E-Commerce'],"['이커머스 관련 서비스 기획을 해보신 분', '이커머스 트렌드에 민감하고,창의성과 아이디어가 풍부하신 분', '플랫폼 시스템을 기반으로 프로젝트를 진행해 보신 분', '백오피스(관리자 화면)설계 경험이 있으신 분']",[]
0229_GI48212309_펑타이그레이터차이나(유) 채용 - [PTKOREA] Creative Designer 채용 _ 잡코리아,데이터 엔지니어,펑타이그레이터차이나(유),[],"['최신 미디어 트렌드에 밝고,즐기시는 분']",[]
0230_GI48060183_펑타이그레이터차이나(유) 채용 - [PTKOREA] 중국 및 글로벌 미디어 플래너 _ 잡코리아,데이터 분석가,펑타이그레이터차이나(유),[],"['중국 시장에 대해 이해도가 높으신 분', '디지털 마케팅에 대한 이해도가 높으신 분']",[]
0231_GI48033919_펑타이그레이터차이나(유) 채용 - [PTKOREA] D2C 마케팅 기획자 (AE) _ 잡코리아,데이터 분석가,펑타이그레이터차이나(유),[],"['동종업계(광고 대행사,이커머스 운영사)근무 경험을 보유하신 분', '비즈니스 영어 활용이 가능하신 분']",[]
0232_GI48242565_펑타이그레이터차이나(유) 채용 - [PTKOREA] 정보보안(기술) 담당자 채용 (취약점 분석 및 보안시스템 운영) _ 잡코리아,데이터 분석가,펑타이그레이터차이나(유),[],"['보안 취약점 관리 체계 수립 및 개선 참여 경험이 있으신 분', '보안 규정 및 감사 대응 경험이 있으신 분', '모의 해킹 또는 침투 테스트 경험이 있으신 분', 'Python,Shell Script 등을 통한 정보보안 점검 업무 자동화 경험이 있으신 분', '정보보안 관련 자격증 보유하신 분']",['Python']
0234_GI48062766_㈜게임듀오 채용 - 게임 중어 번체 로컬라이제이션 _ 잡코리아,데이터 분석가,㈜게임듀오,"['게임 데이터 분석가 (0명) 게임에 대한 높은 이해도를 바탕으로 모바일 게임 콘텐츠를 번역합니다.', '게임 유저에 대한 관심과 배려를 바탕으로 글로벌 커뮤니케이션을 관리합니다.', '중화권 문화에 대한 깊은 이해도를 바탕으로 글로벌 커뮤니케이션에 필요한 번역을 진행합 니다.']","['게임을 좋아하고 여러 장르에 대한 이해도가 있는 분', '게임 번역 경험을 보유하신 분(KOzhTW) 게임 용어 및 사전집 관리 경험이 있으신 분', 'AI 번역툴 도입 및 활용 경험 보유하신 분', '원활한 커뮤니케이션에 가능하신 분', '원활히 중국어 간체를 구사하시는 분']",[]
0235_GI48076768_㈜이팝소프트 채용 - [이팝소프트(말해보카)] 그로스 마케터 _ 잡코리아,데이터 분석가,㈜이팝소프트,"['합류 후 이런 업무를 함께 담당하게 돼요.', '국내 및 해외의 퍼포먼스 마케팅 전략을 수립하고 실행합니다.(신규 유저 유입,구매 전환 극대화)', 'Meta,Google 등 주요 셀프서브 매체를 중심으로 앱 캠페인(UA,Retargeting,Branding)을 운영합니다.', '내부데이터, 앱스플라이어, 광고 대시보드를 활용하여(ROAS, CPA 등)를 분석하고 개선하는 업무를 담당합니다.', '캠페인 및 크리에이티브 성과 분석을 통해 인사이트를 도출하고 PD 및 디자이너와 협업하여 소재를 기획합니다.', '데이터 분석가와 협업하여 고객 데이터를 분석하고,마케팅 전략에 반영하는 업무를 담당합니다.', 'SQL,앱스플라이어 등 분석 도구를 활용하여 마케팅 성과를 진단하고 실행 액션을 도출합니다.', '매출 극대화를 위한 다양한 실험 및 프로젝트를 자유롭게 제안하고 리딩합니다.']","['퍼포먼스 마케팅 실무 경험 3년~7년이거나,이에 준하는 역량을 갖추신 분 e CN .', '경험을 보유하신 분', '저우량롱위거우 올러- 매체 운영: 능숙한 셀프서브 매체 운영 가능 소재 기획:크리에이티브 실험 설계 및 성공 소재 발굴 가능 데이터 분석:SQL 및 툴 기반 분석을 통해 퍼포먼스 인사이트 도출 가능 자기주도적으로 일하시고,논리적으로 소통하여 협업할 수 있는 분', '데이터 분석을 통해 인사이트를 찾는 데 흥미를 가지신 분', '이미 좋은 성과가 나오는 캠페인을 운영하면서도,새로운 실험이나 액션을 통해 매출,ROAS,CPA 등의 지표를 추가로 개선한 경험이 있으신 분', '목표 달성을 위한 성장 전략을 수립하고 실행한 경험이 있으신 분', '유저 세그먼트 및 퍼널 단계에 따른 리타켓팅 캠페인을 운영해보셨거나,Incrementality 테스트나 A/B 실험을 통해 실질적인 성과 개선을 이끈 경험이 있으신 분', '앱스플라이어,Google Analytics의 로데이터와 고급 기능을 이해하고 활용 가능하신 분']",['SQL']
0237_GI48274014_㈜미리디 채용 - [미리캔버스] 프롬프트 엔지니어 (Prompt Engineer) _ 잡코리아,데이터 분석가,㈜미리디,"['미리캔버스에 AI 이미지,AI 텍스트 생성 기능이 추가되었습니다!', '계속하여 발전하는 AI 기능을 활용하여 더 좋은 가치를 고객에게 전달하기 위해 프름프트 엔지니어링 업무를 담당해주실 분을 찾고 있습니다.', '함께 더 멋있고 편리한 AI 기능을 만들어가요!', '>프롬프트 엔지니어링팀의 목표와 일하는 방식이 궁금하다면?PE팀 인터뷰 보러 가기 | 기대모습 ""미리디에서 이런 일들을 함께 하고 싶어요"" 1개월뒤 N이아이리 비주얼 커뮤니케이션 기능을 고도화 하기 위한 핵심 제품 개발에 참여 합니다.', '목표조직 및 기능 조직내 동료들과 긴밀하게 협업하는 방법을 체득합니다.', '3개월 뒤 미리캔버스의 시각화 컨텐츠 생성을 위한 프롬프트를 생성하고 고도화 합니다.', '고도화한 프름프트를 정량적으로 평가할 수 있는 지표를 정의하고 환경을 구성합니다.', '그이후']","['""이런 분이라면 장기적으로 서로에게 더 긍정적일 것 같아요!""']",[]
0238_GI48207832_㈜미리디 채용 - [비즈하우스] 프린트 디자인 디렉터 _ 잡코리아,데이터 분석가,㈜미리디,"['(스티커,배너,현수막 등)에 최적화된 템플릿을 기획·디렉팅하는 역할을 수행합니다.', ""링리그을 터 융 이ㅠ '템플릿 최적화'에 집중합니다."", '상품기획', '마케터', '데이터 분석가', '외부 디자이너들과 긴밀히 협업하여 고객 관점에서 디자인을 분석하고 실질적인 매출 향상에 기여합니다.', '프린트 디자인 디렉터로 합류하면 이런 성장을 할 수 있어요!', '국내 최대 규모 PoD(PrintonDemand)플랫폼에서 상품-디자인-전환 퍼널을 연결하는 엔드투엔드 디자인 전략 경험', '단순 디자인 제작이 아닌,매출 전환을 만드는 디자인 실험 경험']",[],[]
0240_GI48234861_㈜놀유니버스 채용 - 국내숙박 영업 기획 담당자 - Business Analyst _ 잡코리아,데이터 분석가,㈜놀유니버스,[],"['숙박 사업(또는 OTA)산업에서의 경험을 보유하신 분', '스타트업 및 플랫폼 기업에서의 경험을 보유하신 분', '숙박사업 내 Business Analyst는 데이터 분석 To이을 활용,복잡한 데이터 문제를 해결하고,예측 모델을 개발하여 비즈니스에 성장에 기여해요.', '우리 조직은 데이터를 통해 기회를 발견하고,문제를 해결하며,데이터 기반의 의사 결정에 기여하여 조직의 성공을 이끌어내고 있어요.', '[합류 여정]']","['SQL', 'R']"
